name,abbreviation,nirf_rank,state,city,affiliation,founded_year,is_premier,rating,placement_percentage,avg_package,highest_package,description
Indian Institute of Technology Madras,IIT Madras,1,Tamil Nadu,Chennai,Central Govt. Autonomous,1959,True,4.9,98.5,21.48,198.0,Top engineering institute in India known for innovation and research.
Indian Institute of Technology Delhi,IIT Delhi,2,Delhi,New Delhi,Central Govt. Autonomous,1961,True,4.8,97.2,20.5,200.0,Premier institute renowned for its deep tech research and startup ecosystem.
Indian Institute of Technology Bombay,IIT Bombay,3,Maharashtra,Mumbai,Central Govt. Autonomous,1958,True,4.9,98.1,22.7,367.0,"Located in the financial capital, excellent industry exposure and placements."
Indian Institute of Technology Kanpur,IIT Kanpur,4,Uttar Pradesh,Kanpur,Central Govt. Autonomous,1959,True,4.8,96.5,19.8,190.0,Famous for its rigorous academic curriculum and aerospace engineering program.
Indian Institute of Technology Kharagpur,IIT KGP,5,West Bengal,Kharagpur,Central Govt. Autonomous,1951,True,4.7,95.8,18.2,260.0,The oldest IIT with the largest campus and highest student intake.
Indian Institute of Technology Roorkee,IIT Roorkee,6,Uttarakhand,Roorkee,Central Govt. Autonomous,1847,True,4.6,94.5,17.0,130.0,"One of the oldest technical institutions in Asia, exceptionally strong in Civil & Architecture."
Indian Institute of Technology Guwahati,IIT Guwahati,7,Assam,Guwahati,Central Govt. Autonomous,1994,True,4.6,93.0,16.5,120.0,Beautiful campus on the banks of Brahmaputra with strong focus on biotechnology and design.
Indian Institute of Technology Hyderabad,IIT Hyderabad,8,Telangana,Hyderabad,Central Govt. Autonomous,2008,True,4.7,92.5,18.0,150.0,A fast-growing second-generation IIT with an excellent artificial intelligence program.
National Institute of Technology Tiruchirappalli,NIT Trichy,9,Tamil Nadu,Tiruchirappalli,Central Govt. Autonomous,1964,True,4.6,95.0,15.5,108.0,"The top-ranked NIT in the country, comparable to elite IITs in placements."
National Institute of Technology Karnataka,NITK Surathkal,12,Karnataka,Surathkal,Central Govt. Autonomous,1960,True,4.5,93.5,14.8,85.0,Beachside campus with massive industry linkage in the IT hub of India.
National Institute of Technology Rourkela,NIT Rourkela,16,Odisha,Rourkela,Central Govt. Autonomous,1961,True,4.4,91.0,12.5,65.0,Known for excellent metallurgical and core engineering placements.
National Institute of Technology Warangal,NIT Warangal,21,Telangana,Warangal,Central Govt. Autonomous,1959,True,4.5,92.0,14.0,88.0,"The first NIT established by Nehru, highly competitive CS & Electronics branches."
Motilal Nehru National Institute of Technology,MNNIT Allahabad,49,Uttar Pradesh,Prayagraj,Central Govt. Autonomous,1961,False,4.2,88.2,11.5,55.0,Excellent placement records in software engineering profiles.
Malaviya National Institute of Technology,MNIT Jaipur,37,Rajasthan,Jaipur,Central Govt. Autonomous,1963,False,4.3,89.0,11.2,50.0,"Located in the pink city, offering great core and IT placements."
Vellore Institute of Technology,VIT Vellore,11,Tamil Nadu,Vellore,Private Deemed,1984,True,4.3,94.0,9.2,102.0,Massive intake but exceptionally good placement cells and infrastructure.
Birla Institute of Technology and Science,BITS Pilani,20,Rajasthan,Pilani,Private Deemed,1964,True,4.8,97.5,22.0,133.0,The absolute best private engineering college with strict 0% attendance policy and IIT-level placements.
Amrita Vishwa Vidyapeetham,Amrita,19,Tamil Nadu,Coimbatore,Private Deemed,1994,False,4.2,91.5,8.5,56.0,Strongly valuedriven private institution heavily invested in applied research.
Manipal Academy of Higher Education,MAHE,6,Karnataka,Manipal,Private Deemed,1953,True,4.4,88.0,8.5,44.0,Global campus vibe with highly recognized medical and engineering wings.
SRM Institute of Science and Technology,SRM,18,Tamil Nadu,Chennai,Private Deemed,1985,False,4.0,92.0,7.5,52.0,Large multi-disciplinary institution with global exchange partnerships.
Thapar Institute of Engineering and Technology,TIET,22,Punjab,Patiala,Private Deemed,1956,False,4.1,90.0,10.5,45.0,One of North India's oldest and most reputed private engineering schools.
Kalinga Institute of Industrial Technology,KIIT,42,Odisha,Bhubaneswar,Private Deemed,1992,False,3.9,87.0,6.5,30.0,A massive infrastructure hub with diverse course offerings.
Jadavpur University,JU,10,West Bengal,Kolkata,State Govt. Autonomous,1955,True,4.7,95.0,15.0,65.0,Renowned for incredible ROI with dirt-cheap fees and elite placements.
Anna University,Anna Univ,13,Tamil Nadu,Chennai,State Govt. Autonomous,1978,True,4.5,91.0,8.0,36.0,The flagship state university for engineering in Tamil Nadu.
Delhi Technological University,DTU,29,Delhi,New Delhi,State Govt. Autonomous,1941,True,4.6,94.0,16.5,85.0,"Formerly DCE, the absolute best state university for coding and software placements."
Netaji Subhas University of Technology,NSUT,60,Delhi,New Delhi,State Govt. Autonomous,1983,False,4.5,92.5,14.5,75.0,"Sister college to DTU, amazing computer science placements in Delhi NCR."
University of Delhi,DU,11,Delhi,New Delhi,Central Govt. Autonomous,1922,True,4.6,80.0,9.5,45.0,"India's most reputed central university for Arts, Science and Commerce."
Jawaharlal Nehru University,JNU,2,Delhi,New Delhi,Central Govt. Autonomous,1969,True,4.8,75.0,8.0,32.0,"The highest-rated university for humanities, languages, and social science research."
Banaras Hindu University,BHU,5,Uttar Pradesh,Varanasi,Central Govt. Autonomous,1916,True,4.5,82.0,10.0,50.0,Historic campus offering diverse degrees including an IIT wing and massive medical college.
Indian Institute of Management Ahmedabad,IIMA,1,Gujarat,Ahmedabad,Central Govt. Autonomous,1961,True,4.9,100.0,35.0,120.0,The absolute pinnacle of MBA education in India. Renowned for strategy leadership.
Indian Institute of Management Bangalore,IIMB,2,Karnataka,Bangalore,Central Govt. Autonomous,1973,True,4.9,100.0,34.5,115.0,Elite management institute positioned in the Silicon Valley of India.
Indian Institute of Management Calcutta,IIMC,4,West Bengal,Kolkata,Central Govt. Autonomous,1961,True,4.8,100.0,34.0,115.0,Known for its extremely challenging finance curriculum.
Indian Institute of Management Lucknow,IIML,6,Uttar Pradesh,Lucknow,Central Govt. Autonomous,1984,True,4.6,100.0,30.0,85.0,A premier IIM known for stellar consulting and marketing placements.
XLRI Xavier School of Management,XLRI,9,Jharkhand,Jamshedpur,Private Autonomous,1949,True,4.8,100.0,32.0,90.0,India's absolute best institute for Human Resource Management (HR).
Faculty of Management Studies,FMS Delhi,0,Delhi,New Delhi,Central Govt. Autonomous,1954,True,4.8,100.0,34.5,80.0,"The 'Red Building of Dreams' known for unparalleled ROI: lowest fees, massive packages."
All India Institute of Medical Sciences,AIIMS Delhi,1,Delhi,New Delhi,Central Govt. Autonomous,1956,True,5.0,100.0,14.0,35.0,The holy grail of medical education globally. Immensely competitive.
Post Graduate Institute of Medical Education and Research,PGIMER,2,Chandigarh,Chandigarh,Central Govt. Autonomous,1962,True,4.9,100.0,12.0,30.0,Premier institute entirely dedicated to post-graduate medical research.
Christian Medical College,CMC Vellore,3,Tamil Nadu,Vellore,Private Aided,1900,True,4.8,98.0,10.0,25.0,A highly reputed private medical college deeply rooted in medical ethics and service.
National Institute of Mental Health & Neuro Sciences,NIMHANS,4,Karnataka,Bangalore,Central Govt. Autonomous,1974,True,4.9,100.0,15.0,40.0,The nation's apex center for mental health and neuroscience research.
National Law School of India University,NLSIU,1,Karnataka,Bangalore,State Govt. Autonomous,1986,True,4.9,99.0,18.0,45.0,The absolute best law school in India. Produces top corporate lawyers and judges.
National Law University,NLU Delhi,2,Delhi,New Delhi,State Govt. Autonomous,2008,True,4.8,98.0,16.5,42.0,Elite law school standing right alongside NLSIU in prestige.
NALSAR University of Law,NALSAR,3,Telangana,Hyderabad,State Govt. Autonomous,1998,True,4.8,95.0,16.0,40.0,Highly respected top-tier national law institution.
Excel College of Computing Sciences Nagpur,EC Nagpur,300,Maharashtra,Nagpur,Private Educational Trust,2004,False,3.6,56.0,6.4,14.0,"A prominent regional institution located in Nagpur, offering various programs in computing sciences."
Vertex College of Engineering and Management Kolkata,VE Kolkata,154,West Bengal,Kolkata,Deemed University,2007,False,4.0,69.4,4.1,12.3,"A prominent regional institution located in Kolkata, offering various programs in engineering and management."
Royal Academy of Business Administration Kanpur,RB Kanpur,247,Uttar Pradesh,Kanpur,AICTE Approved Private,1993,False,3.0,70.6,6.3,16.2,"A prominent regional institution located in Kanpur, offering various programs in business administration."
