name,abbreviation,nirf_rank,nirf_rank_year,rating,review_count,state,city,affiliation,founded_year,is_premier,placement_percentage,avg_package,highest_package,description
A G Patil Institute of Technology,AGPIO,,,3.7,95,Maharashtra,Solapur,State University Affiliated,1996,FALSE,78.9,4.5,13.2,"A G Patil Institute of Technology is a renowned institution located in Solapur, Maharashtra. It offers comprehensive higher education programs."
A P Shah Institute Of Technology,APSIO,,,3.9,406,Maharashtra,Thane,State University Affiliated,1954,FALSE,61.0,5.1,19.5,"A P Shah Institute Of Technology is a renowned institution located in Thane, Maharashtra. It offers comprehensive higher education programs."
"A S College, Deoghar",ASCD,,,4.8,257,Jharkhand,Deoghar,Private Autonomous,1964,FALSE,82.9,3.6,14.2,"A S College, Deoghar is a renowned institution located in Deoghar, Jharkhand. It offers comprehensive higher education programs."
A. A. Government Arts College,AAGAC,,,3.9,183,Tamil Nadu,Tiruchirappalli,UGC Recognized,1994,FALSE,63.0,5.4,15.9,"A. A. Government Arts College is a renowned institution located in Tiruchirappalli, Tamil Nadu. It offers comprehensive higher education programs."
"A. B. N. Seal College, Coochbehar",ABNSC,,,4.2,103,West Bengal,Koch Bihar,AICTE Approved,1997,FALSE,72.8,4.2,11.6,"A. B. N. Seal College, Coochbehar is a renowned institution located in Koch Bihar, West Bengal. It offers comprehensive higher education programs."
A. D. Patel Institute of Technology,ADPIO,,,4.1,260,Gujarat,Anand,State University Affiliated,1971,FALSE,92.6,6.0,28.8,"A. D. Patel Institute of Technology is a renowned institution located in Anand, Gujarat. It offers comprehensive higher education programs."
A. J. K. College of Arts & Science,AJKCO,,,4.1,142,Tamil Nadu,Coimbatore,Central University Affiliated,1950,FALSE,90.5,5.9,12.7,"A. J. K. College of Arts & Science is a renowned institution located in Coimbatore, Tamil Nadu. It offers comprehensive higher education programs."
A. J. Kalasala,AJK,,,4.3,390,Andhra Pradesh,Machilipatnam,State University Affiliated,1983,FALSE,80.2,4.3,12.9,"A. J. Kalasala is a renowned institution located in Machilipatnam, Andhra Pradesh. It offers comprehensive higher education programs."
A. M. A. L. Degree College,AMALD,,,4.1,26,Andhra Pradesh,Visakhapatnam,UGC Recognized,1975,FALSE,82.1,6.9,33.9,"A. M. A. L. Degree College is a renowned institution located in Visakhapatnam, Andhra Pradesh. It offers comprehensive higher education programs."
A. M. Reddy Memorial College of Engineering and Technology,AMRMC,,,4.9,171,Andhra Pradesh,Narasaraopet,AICTE Approved,1956,FALSE,85.1,4.5,18.6,"A. M. Reddy Memorial College of Engineering and Technology is a renowned institution located in Narasaraopet, Andhra Pradesh. It offers comprehensive higher education programs."
A. N. R. College,ANRC,,,3.8,396,Andhra Pradesh,Krishna,UGC Recognized,1959,FALSE,91.9,5.2,21.8,"A. N. R. College is a renowned institution located in Krishna, Andhra Pradesh. It offers comprehensive higher education programs."
A. R. Burla Mahila Varishtha Mahavidyalaya,ARBMV,,,3.5,299,Maharashtra,Solapur,AICTE Approved,1979,FALSE,63.2,6.6,32.6,"A. R. Burla Mahila Varishtha Mahavidyalaya is a renowned institution located in Solapur, Maharashtra. It offers comprehensive higher education programs."
A. V. C. College,AVCC,,,3.5,55,Tamil Nadu,Mayiladuthurai,AICTE Approved,2010,FALSE,86.8,4.6,20.2,"A. V. C. College is a renowned institution located in Mayiladuthurai, Tamil Nadu. It offers comprehensive higher education programs."
A. V. V. M. Sri Pushpam College,AVVMS,,,3.5,418,Tamil Nadu,Thanjavur,Private Autonomous,1986,FALSE,95.5,4.7,10.2,"A. V. V. M. Sri Pushpam College is a renowned institution located in Thanjavur, Tamil Nadu. It offers comprehensive higher education programs."
A.B.Shetty Memorial Institute of Dental Sciences,AMIOD,6,2024,4.7,348,Karnataka,Mangaluru,Central University Affiliated,1952,TRUE,95.2,16.3,80.8,"A.B.Shetty Memorial Institute of Dental Sciences is a renowned institution located in Mangaluru, Karnataka. It offers comprehensive higher education programs."
A.D.M. College for Women,ACFW,,,4.7,234,Tamil Nadu,Nagapattinam,State University Affiliated,1981,FALSE,77.5,6.0,12.1,"A.D.M. College for Women is a renowned institution located in Nagapattinam, Tamil Nadu. It offers comprehensive higher education programs."
A.D.P. College,AC,,,4.5,260,Assam,Nagaon,State University Affiliated,1953,FALSE,75.0,7.5,37.4,"A.D.P. College is a renowned institution located in Nagaon, Assam. It offers comprehensive higher education programs."
A.N.College,A,,,4.0,221,Bihar,Patna,Private Autonomous,1997,FALSE,87.8,6.6,30.4,"A.N.College is a renowned institution located in Patna, Bihar. It offers comprehensive higher education programs."
A.P Residential Degree College,ARDC,,,4.7,179,Andhra Pradesh,MACHERLA,State University Affiliated,1979,FALSE,78.2,5.9,27.0,"A.P Residential Degree College is a renowned institution located in MACHERLA, Andhra Pradesh. It offers comprehensive higher education programs."
A.P.A. College of Arts & Culture,ACOAC,,,4.0,305,Tamil Nadu,"Palani, Dindigul District",State University Affiliated,1994,FALSE,90.6,7.5,23.1,"A.P.A. College of Arts & Culture is a renowned institution located in Palani, Dindigul District, Tamil Nadu. It offers comprehensive higher education programs."
A.P.C. Mahalaxmi College for Women,AMCFW,,,4.9,395,Tamil Nadu,Thoothukkudi,UGC Recognized,1985,FALSE,71.3,4.7,9.3,"A.P.C. Mahalaxmi College for Women is a renowned institution located in Thoothukkudi, Tamil Nadu. It offers comprehensive higher education programs."
A.V.C. College of Engineering,ACOE,,,4.2,35,Tamil Nadu,Mayiladuthurai,State University Affiliated,1986,FALSE,73.2,6.5,19.2,"A.V.C. College of Engineering is a renowned institution located in Mayiladuthurai, Tamil Nadu. It offers comprehensive higher education programs."
A.V.P. College of Arts and Science,ACOAA,,,4.7,331,Tamil Nadu,Tiruppur,UGC Recognized,1950,FALSE,55.7,3.6,9.1,"A.V.P. College of Arts and Science is a renowned institution located in Tiruppur, Tamil Nadu. It offers comprehensive higher education programs."
ABACUS Institute of Engineering and Management,AIOEA,,,4.6,406,West Bengal,Mogra,State University Affiliated,2012,FALSE,83.1,4.6,12.4,"ABACUS Institute of Engineering and Management is a renowned institution located in Mogra, West Bengal. It offers comprehensive higher education programs."
ABES Engin,AE,251,2024,4.4,97,Uttar Pradesh,Ghaziabad,State University Affiliated,1988,FALSE,97.5,3.6,14.2,"ABES Engin is a renowned institution located in Ghaziabad, Uttar Pradesh. It offers comprehensive higher education programs."
ABES Engineering College,AEC,,,3.7,186,Uttar Pradesh,Ghaziabad,Private Autonomous,1970,FALSE,91.2,6.4,23.3,"ABES Engineering College is a renowned institution located in Ghaziabad, Uttar Pradesh. It offers comprehensive higher education programs."
"ABES Institute of Technology, Ghaziabad",AIOTG,,,4.3,35,Uttar Pradesh,Ghaziabad,Private Autonomous,1992,FALSE,64.0,6.1,10.2,"ABES Institute of Technology, Ghaziabad is a renowned institution located in Ghaziabad, Uttar Pradesh. It offers comprehensive higher education programs."
ABM College Jamshedpur,ACJ,,,4.6,251,Jharkhand,JAMSHEDPUR,UGC Recognized,1985,FALSE,68.8,4.5,17.4,"ABM College Jamshedpur is a renowned institution located in JAMSHEDPUR, Jharkhand. It offers comprehensive higher education programs."
"ABSS Institute of Technology, Mawana Road, Meerut",AIOTM,,,4.7,299,Uttar Pradesh,MEERUT,UGC Recognized,1986,FALSE,76.1,5.3,19.8,"ABSS Institute of Technology, Mawana Road, Meerut is a renowned institution located in MEERUT, Uttar Pradesh. It offers comprehensive higher education programs."
ACE Engineering college,AEC,,,3.6,241,Telangana,Hyderabad,Private Autonomous,1992,FALSE,84.9,5.8,13.0,"ACE Engineering college is a renowned institution located in Hyderabad, Telangana. It offers comprehensive higher education programs."
ACROPOLIS FACULTY OF MANAGEMENT & RESEARCH,AFOMR,,,4.4,332,Madhya Pradesh,Indore,Central University Affiliated,2006,FALSE,96.5,5.3,25.8,"ACROPOLIS FACULTY OF MANAGEMENT & RESEARCH is a renowned institution located in Indore, Madhya Pradesh. It offers comprehensive higher education programs."
ACS College of Engineering,ACOE,,,4.7,146,Karnataka,Bengaluru,UGC Recognized,1955,FALSE,85.7,4.5,12.4,"ACS College of Engineering is a renowned institution located in Bengaluru, Karnataka. It offers comprehensive higher education programs."
ACTS Degree College,ADC,,,3.7,193,Andhra Pradesh,Visakhapatnam,Private Autonomous,1964,FALSE,56.0,4.4,20.6,"ACTS Degree College is a renowned institution located in Visakhapatnam, Andhra Pradesh. It offers comprehensive higher education programs."
"ADHIPARASAKTHI DENTAL COLLEGE AND HOSPITAL, KANCHEEPURAM",ADCAH,,,4.9,369,Tamil Nadu,Melmaruvathur,Central University Affiliated,1999,FALSE,91.7,5.2,20.5,"ADHIPARASAKTHI DENTAL COLLEGE AND HOSPITAL, KANCHEEPURAM is a renowned institution located in Melmaruvathur, Tamil Nadu. It offers comprehensive higher education programs."
AISSMS College of Engineering,ACOE,,,4.6,323,Maharashtra,Pune,UGC Recognized,1967,FALSE,63.9,4.4,8.4,"AISSMS College of Engineering is a renowned institution located in Pune, Maharashtra. It offers comprehensive higher education programs."
AJ Institute of Dental Sciences,AIODS,,,4.3,235,Karnataka,Dakshina Kannada,AICTE Approved,1953,FALSE,82.6,4.0,6.1,"AJ Institute of Dental Sciences is a renowned institution located in Dakshina Kannada, Karnataka. It offers comprehensive higher education programs."
